Point ID,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,buavg,burnup,conductivity_temp,contact_pressure,coolant_channel_htc,coolant_temperature,creep_strain_x_0,creep_strain_x_1,creep_strain_x_Magnitude,creep_strain_yy,creep_strain_zz,critical_heat_flux,disp__0,disp__1,disp__Magnitude,dnbr,effective_creep_strain,fast_neutron_fluence,fast_neutron_flux,fission_rate,gap_cond,grain_radius,hydrostatic_stress,ids,nodal_area_pellet_clad_mechanica,object_id,output_heat_flux,oxide_thickness,paired_k_temp,paired_temp,penetration,qpoint_penetration,residual_disp__0,residual_disp__1,residual_disp__Magnitude,residual_temp,rod_burnup,rpf,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,temp,vonmises_stress,vtkValidPointMask
0,0.00475,0,0,0.00475,0,0,0,16,0,32244.1,558.003,-0.000439405,4.4308e-06,0.000439428,0.000793954,-0.000354548,5.07306e+06,-1.21303e-06,1.96828e-21,1.21303e-06,-905.07,0.00117084,3.15009e+25,3.60109e+17,0,0,0,0,40,0,1,-5628.6,7.05204e-06,0,0,0,0,-3.57482e-09,4.70893e-25,3.57482e-09,8.00565e-13,0,0,-0.000450264,0.00534978,-0.000265434,-1.55396e+07,6.22567e+06,-9.7717e+06,557.851,1.95381e+07,1
1,0.00475,0.00398954,0,0.00620314,0.00398954,0,0,16,0,32136.3,558.089,0.00236382,2.89718e-05,0.002364,0.000872493,-0.00323632,5.0697e+06,-8.18385e-06,2.08989e-05,2.24442e-05,21.4938,0.00370925,3.15009e+25,3.60109e+17,0,0,0,0,52,0,1,370092,7.32474e-06,0,0,0,0,1.00042e-07,2.59017e-08,1.03341e-07,5.43527e-10,0,0,0.0026106,0.00559401,-0.00355673,-1.42993e+07,3.77517e+06,-4.70201e+07,560.875,4.51246e+07,1
2,0.00475,0.00797908,0,0.00928591,0.00797908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
3,0.00475,0.0119686,0,0.0128767,0.0119686,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
4,0.00475,0.0159582,0,0.0166501,0.0159582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
5,0.00475,0.0199477,0,0.0205054,0.0199477,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
6,0.00475,0.0239372,0,0.024404,0.0239372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
7,0.00475,0.0279268,0,0.0283279,0.0279268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
8,0.00475,0.0319163,0,0.0322678,0.0319163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
9,0.00475,0.0359059,0,0.0362187,0.0359059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
