time,jacobian_compute_time,number_dofs,number_linear_iterations,number_nonlinear_iterations,number_nonlinear_variables,physical_memory_use,residual_compute_time,simulation_alive_time,time_step_size,total_linear_iterations,total_nonlinear_iterations
-100,0,253601,0,0,3,3605,0,0,0,0,0
0,0.657754527,253601,20,9,3,7301,2.540369441,9.122949175,100,20,9
200,1.183997515,253601,12,8,3,7518,4.50224672,14.902899068,200,32,17
600,1.38060037,253601,5,3,3,7538,5.338617738,17.36234039,400,37,20
1400,1.644021858,253601,6,4,3,7544,6.379296302,20.444092687,800,43,24
3000,2.041814405,253601,9,6,3,7551,7.88608093,24.900281247,1600,52,30
3600,2.304726261,253601,7,4,3,7557,8.993976266,28.069658402,600,59,34
5200,2.567591649,253601,7,4,3,7566,10.102879678,31.245597593,1600,66,38
7200,2.897988699,253601,8,5,3,7567,11.41563961,35.074165006,2000,74,43
8800,3.227992564,253601,8,5,3,7572,12.724022736,38.900326997,1600,82,48
10800,3.557684555,253601,8,5,3,7575,14.025214866,42.717467561,2000,90,53
12400,3.887201392,253601,8,5,3,7601,15.33626771,46.554164218,1600,98,58
14400,4.216098937,253601,10,5,3,7602,16.772523913,50.52699801,2000,108,63
16000,4.479215683,253601,8,4,3,7605,17.946773287,53.791989042,1600,116,67
18000,4.741945482,253601,11,4,3,7605,19.32166223,57.275138333,2000,127,71
19600,5.004590935,253601,10,4,3,7608,20.62050059,60.676201067,1600,137,75
21600,5.267840757,253601,10,4,3,7608,21.929497353,64.093296951,2000,147,79
23200,5.465233904,253601,7,3,3,7608,22.906818024,66.714270054,1600,154,82
25200,5.729036742,253601,11,4,3,7614,24.28290173,70.20475679,2000,165,86
26800,5.992862655,253601,10,4,3,7615,25.587621804,73.615611919,1600,175,90
28800,6.25799014,253601,10,4,3,7617,26.903684475,77.041274358,2000,185,94
30400,6.521684447,253601,10,4,3,7618,28.207145215,80.452287474,1600,195,98
32400,6.784850176,253601,10,4,3,7618,29.510613312,83.861585313,2000,205,102
34000,7.049442106,253601,10,4,3,7618,30.820747925,87.285688654,1600,215,106
36000,7.314918992,253601,10,4,3,7638,32.140795527,90.716460399,2000,225,110
37600,7.579864468,253601,10,4,3,7650,33.455037391,94.147505037,1600,235,114
39600,7.844497251,253601,10,4,3,7654,34.768974114,97.573824706,2000,245,118
41200,8.109821309,253601,10,4,3,7672,36.0819685,100.99910141,1600,255,122
43200,8.375884433,253601,10,4,3,7673,37.40953913,104.444850792,2000,265,126
44800,8.640930247,253601,10,4,3,7673,38.720668966,107.870603297,1600,275,130
46800,8.974613434,253601,11,5,3,7673,40.252197647,111.968463027,2000,286,135
48400,9.239992134,253601,10,4,3,7673,41.575884433,115.406098386,1600,296,139
50400,9.507976693,253601,10,4,3,7675,42.915986423,118.874206461,2000,306,143
52000,9.776246737,253601,10,4,3,7675,44.23858102,122.320813741,1600,316,147
54000,10.044421479,253601,10,4,3,7675,45.577030634,125.782160876,2000,326,151
55600,10.310538868,253601,10,4,3,7675,46.899098972,129.225453406,1600,336,155
57600,10.579040528,253601,11,4,3,7675,48.311733569,132.771430361,2000,347,159
59200,10.852281778,253601,11,4,3,7676,49.729558967,136.338378365,1600,358,163
61200,11.121925888,253601,11,4,3,7676,51.133581306,139.878585035,2000,369,167
62800,11.390230603,253601,11,4,3,7676,52.539351519,143.4182058,1600,380,171
64800,11.657028956,253601,10,4,3,7676,53.872265632,146.879957076,2000,390,175
66400,11.924366617,253601,10,4,3,7677,55.206232183,150.338124237,1600,400,179
68400,12.193218293,253601,11,4,3,7678,56.618277151,153.887664206,2000,411,183
70000,12.462978452,253601,10,4,3,7678,57.964868975,157.362975099,1600,421,187
72000,12.73179966,253601,10,4,3,7678,59.302060484,160.831362391,2000,431,191
73600,13.06833738,253601,14,5,3,7678,61.057814973,165.184082128,1600,445,196
75600,13.404269036,253601,14,5,3,7678,62.816311337,169.538595614,2000,459,201
77200,13.739505084,253601,14,5,3,7738,64.564385832,173.881230533,1600,473,206
79200,14.074967389,253601,14,5,3,7739,66.303419471,178.21830371,2000,487,211
80800,14.411890496,253601,15,5,3,7739,68.123479202,182.646117406,1600,502,216
82800,14.747108605,253601,14,5,3,7739,69.862112814,186.981936132,2000,516,221
84400,15.081985558,253601,17,5,3,7739,71.805532372,191.540431843,1600,533,226
86400,15.418337423,253601,15,5,3,7739,73.629841244,195.974846792,2000,548,231
88000,15.688846307,253601,11,4,3,7739,75.052510496,199.541217378,1600,559,235
91200,15.958799119,253601,9,4,3,7739,76.336660266,202.954892339,3200,568,239
97600,16.23021215,253601,10,4,3,7739,77.702722418,206.457703433,6400,578,243
